name	side	start	end	drop	day	yfreq	well behaved	phase class
n_3ms_2	54	6538	6552	3	sept	0.012922601	0	4
n_3ms_3	53.5	6104	6117	3	sept	0.012076484	0	4
n_3ms_4	54	7208	7219	3	sept	0.012810887	0	4
o_3ms_1	53	4434	4446	3	sept	0.008678321	0	4
o_3ms_2	52.5	4964	4977	3	sept	0.010105299	0	4
o_3ms_3	53	4574	4585	3	sept	0.011693953	0	4
n_5ms_1	62	1385	1400	5	sept	0.01116886	0	4
n_5ms_2	61	3044	3059	5	sept	0.010794087	1	4
n_5ms_3	62	2621	2636	5	sept	0.011302651	1	4
o_5ms_1	52	6534	6545	5	sept	0.015420306	0	4
o_5ms_2	52.5	4240	4253	5	sept	0.010957324	0	4
o_5ms_3	52.5	6765	6795	5	sept	0.012698997	0	4
o_5ms_4	53	5247	5258	5	sept	0.013665077	0	4
o_5ms_5	51.5	5821	5837	5	sept	0.010223867	0	4
f_7ms_1	43	9158	9182	7	sept	0.010699333	0	4
f_7ms_2	44	10042	10062	7	sept	0.009909568	1	2
f_7ms_3	43	10256	10277	7	sept	0.010300241	1	2
f_7ms_4	43.5	1000	1019	7	sept	0.01041761	0	4
n_7ms_1	60	3121	3145	7	sept	0.011084931	0	2
n_7ms_2	62.5	636	655	7	sept	0.010931425	0	2
n_7ms_3	59.5	524	540	7	sept	0.012197994	0	4
o_7ms_2	57.5	5335	5352	7	sept	0.012943867	0	4
o_7ms_3	56	6669	6692	7	sept	0.009570912	0	4
7ms_1	63.5	6798	6804	7	sept	0.01127733	0	4
7ms_2	64	4816	4835	7	sept	0.011437495	0	4
7ms_3	64	2165	2182	7	sept	0.008805557	1	2
7ms_4	65	2522	2542	7	sept	0.011005503	0	4
7ms_5	64	4100	4118	7	sept	0.011429274	0	2
n_9ms_1	58.5	3081	3110	9	sept	0.01085802	0	2
n_9ms_2	57	1120	1148	9	sept	0.010493691	1	2
9ms_1	67	5083	5109	9	sept	0.011400512	1	2
9ms_2	66.5	4504	4531	9	sept	0.011667639	0	2
9ms_3	67.5	5274	5303	9	sept	0.011667958	0	2
9ms_4	67.5	3409	3435	9	sept	0.011317446	0	2
f_11ms_4	42	1967	1999	11	sept	0.008104033	0	3
n_11ms_1	61.5	1884	1916	11	sept	0.010608424	1	2
n_11ms_2	61.5	2188	2221	11	sept	0.010589056	1	2
n_11ms_3	63.5	2779	2812	11	sept	0.011190926	1	2
11ms_1	67	6054	6087	11	sept	0.012075573	1	2
11ms_2	67	6025	6057	11	sept	0.011836953	1	2
11ms_3	64	5439	5471	11	sept	0.011709602	1	2
11ms_5	66.5	6086	6118	11	sept	0.011779929	1	2
n_13ms_2	57	2603	2644	13	sept	0.01104887	1	2
n_13ms_3	58	6888	6905	13	sept	0.010775065	1	2
13ms_1	66.5	5473	5514	13	sept	0.012339778	1	2
a_8ms_1	40.5	1240	1264	8	april	0.010588843	1	2
a_8ms_2	37.5	1951	1974	8	april	0.009551311	1	1
a_8ms_3	38	2445	2468	8	april	0.008383257	0	3
a_8ms_4	37	4101	4124	8	april	0.008342313	1	1
a_8ms_5	37.5	1626	1649	8	april	0.008434232	1	1
